macrostate,P_up,P_down,term_1,term_2
32,0.004994114514899999,0.0003625128512,-4.157802921681127e-18,2.5699411838059826e-39
33,0.0049288480573,0.00033965265631,-4.233499803974482e-18,2.4883439690678608e-39
34,0.004822112969600001,0.00044777759886,-4.320968954923779e-18,2.7945809181535807e-39
35,0.0047782810891999995,0.0005900371533200001,-4.399470219971571e-18,2.959874756672916e-39
36,0.0049334088298,0.00037327901921,-4.492369411148275e-18,3.0772488696637776e-39
37,0.0046108608713,0.00040848025806,-4.5777270308165946e-18,3.1714724429071196e-39
38,0.004622477684600001,0.00070380912271,-4.649600011999029e-18,2.988010952366352e-39
39,0.0047250648761,0.00053943568949,-4.747318563808604e-18,3.342401745148598e-39
40,0.004454495809,0.0006464586733600001,-4.8261040535966055e-18,3.3271466170195607e-39
41,0.0047482385673999995,0.0011608863774999999,-4.894035836453288e-18,4.1727969195715203e-39
42,0.0043998997831,0.0005790566139299999,-4.997922507307647e-18,3.416879367976185e-39
43,0.0045982586903,0.00044578051594,-5.081952363446658e-18,3.9094344627584784e-39
44,0.004599761341,0.0021619324415000003,-5.125036354288877e-18,3.964248812346331e-39
45,0.0046481188305,0.0014921786015999999,-5.197539304684638e-18,5.001852328499263e-39
46,0.0043452103997,0.0013646437016,-5.314709349859144e-18,4.87014768953374e-39
47,0.004496588197600001,0.0021228072765,-5.391869694117396e-18,4.0540539357522384e-39
48,0.0044507103386999996,0.0025945661374,-5.429226327795247e-18,5.4506721596823255e-39
49,0.0044137998424,0.0027687651411,-5.4934785889358185e-18,6.2646632048045e-39
50,0.004383605471,0.0028110405324000003,-5.59495497390093e-18,4.308969666915535e-39
51,0.004456239368100001,0.004391214752399999,-5.6228505824830026e-18,5.703260981878325e-39
52,0.0043371904286,0.0042713181887,-5.683014989822244e-18,5.6261784653329684e-39
53,0.0043227949869,0.0038890148096,-5.774269702925135e-18,4.99512142270712e-39
54,0.004312444868,0.0043212419393,-5.828921172674515e-18,6.583301466400661e-39
55,0.0042412840089,0.0045598703598,-5.878563162778213e-18,6.182630982329614e-39
56,0.004183043985800001,0.0041664609476000005,-5.9660266998043354e-18,6.599243670139645e-39
57,0.0042285346098,0.004155144160000001,-6.020588450259243e-18,5.0670973739419306e-39
58,0.0041856074242,0.0054541790768,-6.091867481369206e-18,6.069593449878046e-39
59,0.0041622444053,0.0047484291705,-6.143652319202875e-18,7.329090300532987e-39
60,0.0042406271426,0.0060707781837,-6.1895084396279624e-18,7.025408577886712e-39
61,0.0042074927066,0.0054911029994,-6.271099161320903e-18,6.466108125522217e-39
62,0.0041105775169,0.0056716727174999995,-6.3332019157283115e-18,7.016886907989333e-39
63,0.0040524417767,0.0043906702101,-6.407814439650221e-18,7.772864524428214e-39
64,0.0041398970247,0.006538420691399999,-6.445499521609053e-18,7.53632549328759e-39
65,0.0040687084846,0.0062463113616,-6.524195765398549e-18,6.812589595410726e-39
66,0.0040234648112,0.006019724893100001,-6.573710811653748e-18,6.75986791006671e-39
67,0.0041314099998999996,0.006201241832100001,-6.6205796950420524e-18,8.412395876779559e-39
68,0.0040093079491,0.006253956221899999,-6.735001474893316e-18,8.552195888870858e-39
69,0.0039034248794000003,0.005741063466899999,-6.7951150555056505e-18,7.91917594944795e-39
70,0.0039602895568,0.0054560325133,-6.851280509527399e-18,7.475079446395729e-39
71,0.0040040499506,0.006608917707699999,-6.925306264618595e-18,1.0241717721019938e-38
72,0.003915992170699999,0.005233911886600001,-6.973028789773332e-18,7.580637521181439e-39
73,0.0038832659322,0.0065721429339,-7.038678197654066e-18,8.472937226970092e-39
74,0.0038203186007,0.006029150733000001,-7.120741946802803e-18,8.191758472068135e-39
75,0.0038138489144000005,0.0054724642933,-7.19385254511397e-18,9.365558761640415e-39
76,0.003910680538,0.0058407404319,-7.245261145395491e-18,8.92078560889081e-39
77,0.0038230790090999995,0.006798559081699999,-7.321383289707946e-18,9.193254392110322e-39
78,0.0036245219327,0.0051110999241999995,-7.406145169838598e-18,7.799236993215106e-39
79,0.0036243816094000004,0.0063866937705,-7.461263980909932e-18,9.7193248783884e-39
80,0.0036426475260999997,0.0063773873032,-7.520704874459452e-18,9.49664307069557e-39
81,0.0037268814248000003,0.0060894760921,-7.5636962343767e-18,9.271285759040244e-39
82,0.0035784822078000003,0.0059041718293,-7.642093922678979e-18,9.346403890972684e-39
83,0.0036561928784000003,0.0060447576087,-7.721175823763107e-18,9.925783511389272e-39
84,0.0036776616189,0.006073717212,-7.770892082987962e-18,9.459892850983645e-39
85,0.0035746694752,0.0058029358719999995,-7.880917075765413e-18,1.2509237397711024e-38
86,0.0036150875208000002,0.006138271373600001,-7.897182697199582e-18,1.1140830198314699e-38
87,0.0035562786682,0.0062025226422,-7.966540968955465e-18,1.2049496456681637e-38
88,0.0034835431312,0.005983226256300001,-8.065522838846703e-18,9.76284179622643e-39
89,0.0035571676049000003,0.0059104873112000005,-8.090629220385283e-18,1.0889250142537962e-38
90,0.0034694800636999997,0.0061327632383,-8.191005293086416e-18,1.3607737165854974e-38
91,0.0034896792188000006,0.0056620212194999995,-8.250676546878705e-18,9.831023942044606e-39
92,0.0032287040807,0.0041166934499,-8.364564591145903e-18,1.0099509968019312e-38
93,0.0032363702624000003,0.0040838600058,-8.413747528802346e-18,1.2428998527566537e-38
94,0.0034797645879,0.0047783246984,-8.444871061230267e-18,1.3497383972194997e-38
95,0.0034210674984,0.0047107384860000006,-8.505083355201517e-18,9.556389588829888e-39
96,0.0030247771979,0.0036969195689000004,-8.65403468728938e-18,1.2990190893929363e-38
97,0.0031666908903,0.0044297534964,-8.672124547636643e-18,1.2205368512620477e-38
98,0.0033460980371999996,0.0061806858123,-8.715281392739423e-18,1.1417249666799893e-38
99,0.0032492006144000003,0.0064614824437,-8.771275972990282e-18,1.2054043042825656e-38
100,0.0029494980562,0.0039181514655999995,-8.93315376408598e-18,1.1343284763369358e-38
101,0.0030948702318,0.0043094535203999996,-8.95748018811746e-18,1.2873145537147875e-38
102,0.0030856947206999996,0.0045915398092,-9.012711394275616e-18,1.475293704095597e-38
103,0.0031248580282,0.0049243394745,-9.083326166498394e-18,1.45569999712404e-38
